[1/1] 01_300777_中简科技_2026-07-02.pdf  清洗文本≈145873字, 表格=37张, 切块≈223
   块1: 生成 3 对 (累计 3)
   块2: 生成 3 对 (累计 6)
   块3: 生成 3 对 (累计 9)
   块4: 生成 2 对 (累计 11)
   块5: 生成 3 对 (累计 14)
   块6: 生成 3 对 (累计 17)
   块7: 生成 3 对 (累计 20)
   块8: 生成 3 对 (累计 23)
   块9: 生成 3 对 (累计 26)
   块10: 生成 3 对 (累计 29)
   块11: 生成 3 对 (累计 32)
   块12: 生成 2 对 (累计 34)
   块13: 生成 3 对 (累计 37)
   块14: 生成 3 对 (累计 40)
   块15: 生成 3 对 (累计 43)
   块16: 生成 3 对 (累计 46)
   块17: 生成 3 对 (累计 49)
   块18: 生成 3 对 (累计 52)
   块19: 生成 3 对 (累计 55)
   块20: 生成 2 对 (累计 57)
   块21: 生成 3 对 (累计 60)
   块22: 生成 3 对 (累计 63)
   块23: 生成 3 对 (累计 66)
   块24: 纯数字密集(非表格), 跳过QA(仍进RAG)
   块25: 纯数字密集(非表格), 跳过QA(仍进RAG)
   块26: 生成 3 对 (累计 69)
   块27: 生成 3 对 (累计 72)
   块28: 生成 3 对 (累计 75)
   块29: 生成 2 对 (累计 77)
   块30: 生成 3 对 (累计 80)
   块31: 生成 3 对 (累计 83)
   块32: 生成 3 对 (累计 86)
   块33: 生成 2 对 (累计 88)
   块34: 生成 3 对 (累计 91)
   块35: 生成 3 对 (累计 94)
   块36: 生成 3 对 (累计 97)
   块37: 生成 3 对 (累计 100)
   块38: 生成 3 对 (累计 103)
   块39: 生成 3 对 (累计 106)
   块40: 生成 3 对 (累计 109)
   块41: 生成 3 对 (累计 112)
   块42: 生成 3 对 (累计 115)
   块43: 生成 3 对 (累计 118)
   块44: 生成 3 对 (累计 121)
   块45: 生成 3 对 (累计 124)
   块46: 纯数字密集(非表格), 跳过QA(仍进RAG)
   块47: 生成 3 对 (累计 127)
   块48: 生成 3 对 (累计 130)
   块49: 生成 3 对 (累计 133)
   块50: 生成 3 对 (累计 136)
   块51: 生成 3 对 (累计 139)
   块52: 生成 2 对 (累计 141)
   块53: 生成 3 对 (累计 144)
   块54: 生成 3 对 (累计 147)
   块55: 生成 3 对 (累计 150)
   块56: 生成 3 对 (累计 153)
   块57: 生成 3 对 (累计 156)
   块58: 生成 3 对 (累计 159)
   块59: 生成 3 对 (累计 162)
   块60: 生成 3 对 (累计 165)
   块61: 生成 3 对 (累计 168)
   块62: 生成 3 对 (累计 171)
   块63: 生成 2 对 (累计 173)
   块64: 生成 3 对 (累计 176)
   块65: 生成 3 对 (累计 179)
   块66: 生成 3 对 (累计 182)
   块67: 生成 3 对 (累计 185)
   块68: 纯数字密集(非表格), 跳过QA(仍进RAG)
   块69: 生成 3 对 (累计 188)
   块70: 生成 3 对 (累计 191)
   块71: 生成 3 对 (累计 194)
   块72: 纯数字密集(非表格), 跳过QA(仍进RAG)
   块73: 生成 3 对 (累计 197)
   块74: 生成 3 对 (累计 200)
   块75: 生成 2 对 (累计 202)
   块76: 生成 3 对 (累计 205)
   块77: 生成 3 对 (累计 208)
   块78: 生成 3 对 (累计 211)
   块79: 生成 3 对 (累计 214)
   块80: 生成 3 对 (累计 217)
   块81: 生成 3 对 (累计 220)
   块82: 生成 3 对 (累计 223)
   块83: 生成 2 对 (累计 225)
   块84: 生成 3 对 (累计 228)
   块85: 生成 2 对 (累计 230)
   块86: 生成 3 对 (累计 233)
   块87: 生成 3 对 (累计 236)
   块88: 生成 3 对 (累计 239)
   块89: 生成 3 对 (累计 242)
   块90: 生成 3 对 (累计 245)
   块91: 生成 3 对 (累计 248)
   块92: 生成 3 对 (累计 251)
   块93: 生成 3 对 (累计 254)
   块94: 生成 3 对 (累计 257)
   块95: 生成 3 对 (累计 260)
   块96: 生成 3 对 (累计 263)
   块97: 生成 3 对 (累计 266)
   块98: 生成 3 对 (累计 269)
   块99: 生成 3 对 (累计 272)
   块100: 生成 3 对 (累计 275)
   块101: 生成 3 对 (累计 278)
   块102: 生成 3 对 (累计 281)
   块103: 生成 3 对 (累计 284)
   块104: 生成 3 对 (累计 287)
   块105: 生成 3 对 (累计 290)
   块106: 生成 3 对 (累计 293)
   块107: 生成 3 对 (累计 296)
   块108: 生成 3 对 (累计 299)
   块109: 生成 3 对 (累计 302)
   块110: 生成 3 对 (累计 305)
   块111: 生成 3 对 (累计 308)
   块112: 生成 3 对 (累计 311)
   块113: 生成 3 对 (累计 314)
   块114: 生成 3 对 (累计 317)
   块115: 生成 3 对 (累计 320)
   块116: 生成 3 对 (累计 323)
   块117: 生成 3 对 (累计 326)
   块118: 生成 3 对 (累计 329)
   块119: 生成 3 对 (累计 332)
   块120: 生成 3 对 (累计 335)
   块121: 生成 3 对 (累计 338)
   块122: 生成 2 对 (累计 340)
   块123: 生成 3 对 (累计 343)
   块124: 生成 3 对 (累计 346)
   块125: 生成 3 对 (累计 349)
   块126: 生成 3 对 (累计 352)
   块127: 生成 3 对 (累计 355)
   块128: 生成 3 对 (累计 358)
   块129: 生成 3 对 (累计 361)
   块130: 生成 3 对 (累计 364)
   块131: 生成 2 对 (累计 366)
   块132: 生成 3 对 (累计 369)
   块133: 纯数字密集(非表格), 跳过QA(仍进RAG)
   块134: 纯数字密集(非表格), 跳过QA(仍进RAG)
   块135: 生成 3 对 (累计 372)
